pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
116.525,-118.9,90.0,top,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10,smt
107.85,-71.725,90.0,top,R11,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,39.2,smt
110.875,-71.65,-90.0,top,R12,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,39.2,smt
89.403675,-134.479929,-135.0,top,R13,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,680,smt
111.0,-122.0,180.0,top,R14,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt
118.5,-128.825,180.0,top,R15,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt
108.65,-130.15,0.0,top,R16,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt
115.5,-122.0,0.0,top,R17,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt
100.125,-133.0,-90.0,top,R18,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt
100.125,-136.9,-90.0,top,R19,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22,smt
106.535,-92.5,90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,800,smt
114.026749,-136.675002,-90.0,top,R24,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,560K,smt
115.951749,-140.400002,90.0,top,R25,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
130.826749,-145.850002,-90.0,top,R26,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,36k,smt
128.876749,-145.875002,-90.0,top,R27,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
114.026749,-140.400002,-90.0,top,R28,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,27K,smt
132.751749,-145.850002,90.0,top,R29,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,750k,smt
123.71,-93.525,90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,800,smt
124.026749,-147.300002,-90.0,top,R30,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4k,smt
122.101749,-147.300002,-90.0,top,R31,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
117.126749,-147.400002,-90.0,top,R32,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,DNP,smt
124.0475,-100.475,-90.0,top,R33,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470K,smt
122.1225,-101.475,90.0,top,R34,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,52.3K,smt
91.58,-141.625,90.0,top,R35,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
91.58,-145.35,90.0,top,R36,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
82.11,-89.411395,180.0,top,R37,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8.2k,smt
80.335,-95.336395,-90.0,top,R38,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
